[5, 0.625, 0.1, [5, 3]]
0;[5, 228];[6, 137];[5, 89];[5, 89];[6, 137];
1;[5, 228];[6, 137];[4, 85];[5, 89];[6, 137];
2;[6, 238];[6, 137];[3, 75];[5, 114];[6, 251];
3;[6, 238];[4, 141];[3, 75];[6, 195];[6, 251];
4;[2, 22];[6, 217];[3, 75];[8, 247];[2, 102];
5;[2, 62];[6, 217];[9, 259];[8, 247];[2, 102];
6;[0, 0];[7, 228];[6, 217];[8, 247];[2, 102];
7;[1, 3];[7, 272];[6, 217];[5, 114];[4, 164];
8;[4, 98];[7, 272];[6, 217];[7, 272];[5, 169];
9;[2, 62];[5, 169];[6, 217];[3, 64];[5, 169];
10;[2, 62];[2, 16];[6, 217];[3, 64];[5, 169];
11;[2, 62];[4, 167];[5, 169];[3, 64];[5, 169];
12;[2, 62];[4, 178];[5, 169];[3, 64];[5, 169];
13;[2, 62];[2, 62];[5, 169];[3, 64];[2, 16];
14;[2, 62];[2, 62];[5, 169];[0, 0];[3, 64];
15;[0, 0];[1, 48];[2, 16];[1, 2];[3, 64];
16;[0, 0];[1, 48];[1, 14];[2, 4];[3, 64];
17;[0, 0];[1, 48];[1, 14];[2, 4];[3, 64];
18;[1, 2];[1, 48];[1, 14];[2, 4];[1, 2];
19;[0, 0];[1, 48];[1, 14];[2, 16];[1, 2];
20;[1, 14];[1, 48];[1, 14];[2, 16];[1, 2];
21;[0, 0];[1, 48];[1, 14];[2, 16];[1, 14];
22;[0, 0];[1, 48];[1, 14];[1, 14];[2, 16];
23;[0, 0];[1, 48];[3, 64];[1, 48];[2, 16];
24;[0, 0];[1, 48];[3, 64];[1, 48];[0, 0];
25;[0, 0];[1, 48];[2, 50];[1, 48];[0, 0];
26;[0, 0];[1, 48];[1, 48];[1, 48];[0, 0];
27;[0, 0];[1, 48];[1, 48];[0, 0];[1, 48];
28;[0, 0];[1, 48];[1, 48];[0, 0];[1, 48];
29;[0, 0];[1, 48];[1, 48];[0, 0];[1, 48];
30;[0, 0];[1, 48];[1, 48];[0, 0];[0, 0];
31;[0, 0];[1, 48];[1, 48];[0, 0];[0, 0];
32;[0, 0];[1, 48];[1, 48];[0, 0];[0, 0];
33;[0, 0];[0, 0];[1, 48];[0, 0];[0, 0];
34;[0, 0];[0, 0];[1, 48];[0, 0];[0, 0];
35;[0, 0];[0, 0];[1, 48];[1, 48];[0, 0];
36;[0, 0];[1, 48];[1, 48];[1, 48];[0, 0];
37;[0, 0];[1, 48];[1, 48];[1, 48];[0, 0];
38;[0, 0];[1, 48];[1, 48];[1, 48];[1, 48];
39;[0, 0];[1, 48];[1, 48];[1, 48];[1, 48];
40;[0, 0];[1, 48];[1, 48];[1, 48];[1, 48];
41;[0, 0];[1, 48];[1, 48];[1, 48];[1, 48];
42;[0, 0];[1, 48];[1, 48];[1, 48];[1, 48];
43;[0, 0];[1, 48];[1, 48];[1, 48];[1, 48];
44;[0, 0];[0, 0];[1, 48];[1, 48];[1, 48];
45;[0, 0];[0, 0];[0, 0];[1, 48];[1, 48];
46;[0, 0];[0, 0];[0, 0];[1, 48];[1, 48];
47;[0, 0];[1, 48];[0, 0];[1, 48];[2, 52];
48;[0, 0];[0, 0];[1, 48];[1, 48];[2, 52];
49;[1, 48];[0, 0];[2, 52];[0, 0];[2, 52];
50;[1, 48];[1, 48];[2, 52];[0, 0];[0, 0];
