[25, 0.625, 0.2, [1, 3]]
0;[3, 77];[2, 14];[3, 221];[3, 86];[3, 71];[3, 95];[3, 49];[3, 33];[3, 86];[3, 104];[3, 79];[3, 55];[4, 174];[3, 47];[3, 306];[3, 35];[3, 17];[3, 211];[2, 115];[3, 49];[3, 80];[4, 74];[2, 22];[3, 245];[3, 41];
1;[3, 77];[2, 14];[3, 173];[3, 309];[3, 71];[3, 212];[3, 49];[3, 33];[3, 86];[3, 104];[3, 79];[3, 55];[4, 132];[3, 47];[3, 175];[3, 35];[3, 17];[3, 211];[2, 115];[3, 49];[3, 119];[4, 74];[2, 22];[3, 97];[3, 56];
2;[4, 387];[2, 14];[3, 25];[3, 309];[3, 71];[3, 212];[3, 49];[3, 33];[3, 86];[3, 104];[2, 33];[2, 79];[5, 139];[3, 47];[3, 175];[3, 35];[3, 17];[3, 40];[2, 115];[3, 49];[3, 119];[4, 74];[2, 22];[3, 97];[4, 68];
3;[4, 387];[2, 29];[3, 25];[4, 319];[3, 71];[3, 212];[4, 65];[2, 21];[4, 134];[3, 104];[2, 33];[2, 79];[5, 139];[2, 40];[3, 175];[3, 35];[3, 17];[3, 40];[2, 115];[3, 49];[3, 51];[4, 70];[2, 22];[3, 97];[4, 68];
4;[4, 247];[2, 29];[3, 25];[4, 230];[3, 71];[3, 212];[4, 65];[3, 89];[4, 134];[3, 104];[2, 33];[2, 183];[5, 160];[2, 40];[3, 19];[3, 188];[3, 17];[3, 14];[2, 28];[3, 49];[3, 51];[4, 70];[2, 22];[3, 97];[4, 47];
5;[4, 206];[3, 70];[3, 25];[4, 230];[3, 27];[3, 212];[4, 65];[3, 89];[4, 134];[3, 104];[2, 36];[2, 59];[5, 160];[2, 27];[3, 171];[3, 188];[3, 17];[3, 14];[2, 28];[3, 49];[3, 51];[4, 70];[2, 50];[3, 11];[4, 47];
6;[3, 211];[3, 70];[3, 46];[4, 230];[3, 27];[3, 212];[4, 65];[4, 55];[4, 134];[3, 130];[2, 36];[2, 75];[5, 160];[2, 27];[3, 171];[3, 232];[3, 17];[3, 14];[1, 12];[3, 49];[3, 51];[4, 70];[3, 170];[3, 11];[4, 47];
7;[3, 211];[3, 70];[3, 46];[4, 211];[3, 27];[2, 60];[4, 65];[5, 95];[4, 134];[3, 130];[2, 51];[1, 108];[5, 160];[2, 27];[3, 6];[3, 232];[3, 17];[3, 14];[1, 12];[3, 49];[3, 175];[4, 70];[3, 170];[3, 11];[4, 47];
8;[3, 211];[3, 70];[3, 46];[4, 211];[3, 27];[2, 60];[4, 65];[6, 70];[4, 134];[3, 66];[2, 120];[1, 108];[6, 91];[2, 218];[3, 6];[3, 231];[3, 17];[3, 14];[1, 12];[3, 49];[3, 175];[4, 70];[3, 170];[3, 31];[4, 47];
9;[3, 211];[3, 70];[3, 46];[4, 169];[3, 96];[2, 60];[4, 65];[6, 70];[4, 134];[3, 108];[2, 120];[1, 108];[6, 53];[2, 291];[3, 6];[3, 231];[3, 17];[3, 14];[1, 137];[3, 49];[3, 175];[4, 70];[3, 77];[3, 31];[4, 47];
10;[3, 54];[3, 70];[3, 46];[4, 169];[2, 59];[2, 60];[4, 82];[7, 274];[4, 134];[3, 108];[2, 120];[1, 108];[6, 53];[2, 291];[3, 6];[3, 112];[3, 17];[3, 20];[1, 7];[3, 49];[3, 175];[4, 70];[3, 76];[3, 31];[4, 47];
11;[2, 86];[3, 70];[4, 140];[4, 169];[1, 9];[2, 60];[4, 82];[7, 274];[4, 135];[3, 66];[2, 23];[1, 108];[6, 102];[2, 291];[3, 6];[3, 49];[3, 17];[3, 20];[1, 7];[3, 49];[3, 175];[4, 70];[3, 76];[3, 31];[4, 47];
12;[2, 86];[3, 83];[4, 140];[4, 169];[1, 9];[2, 60];[4, 124];[7, 274];[4, 101];[3, 66];[2, 23];[1, 3];[6, 102];[2, 291];[3, 6];[2, 46];[3, 17];[3, 56];[1, 7];[3, 36];[3, 175];[4, 98];[3, 76];[3, 61];[4, 42];
13;[2, 86];[4, 152];[4, 140];[4, 169];[2, 49];[2, 60];[4, 124];[7, 274];[4, 101];[3, 118];[2, 23];[1, 22];[6, 285];[2, 154];[3, 6];[2, 46];[3, 17];[3, 56];[1, 7];[3, 36];[3, 180];[4, 66];[3, 76];[3, 14];[4, 42];
14;[2, 49];[4, 229];[4, 140];[4, 169];[2, 49];[1, 6];[4, 124];[7, 274];[4, 101];[2, 14];[2, 23];[1, 54];[6, 285];[2, 35];[3, 6];[1, 51];[3, 66];[3, 56];[1, 9];[3, 36];[3, 180];[4, 66];[3, 129];[3, 14];[4, 42];
15;[2, 49];[4, 104];[4, 119];[4, 169];[2, 29];[1, 6];[4, 124];[7, 274];[4, 101];[2, 14];[2, 23];[1, 54];[6, 335];[2, 35];[3, 6];[1, 12];[3, 66];[3, 56];[1, 9];[3, 23];[3, 180];[5, 156];[3, 81];[3, 149];[4, 52];
16;[2, 49];[4, 102];[4, 119];[4, 169];[2, 29];[1, 6];[4, 124];[7, 274];[4, 101];[3, 128];[2, 23];[1, 54];[6, 285];[2, 37];[3, 6];[1, 12];[3, 79];[2, 43];[1, 9];[3, 23];[3, 63];[5, 90];[3, 81];[3, 149];[4, 52];
17;[2, 49];[4, 102];[4, 119];[3, 11];[2, 29];[1, 91];[4, 124];[7, 320];[4, 101];[3, 128];[2, 47];[1, 54];[6, 285];[2, 12];[3, 6];[1, 12];[3, 79];[2, 26];[1, 1];[3, 23];[3, 63];[5, 91];[3, 111];[3, 149];[4, 52];
18;[2, 49];[4, 102];[4, 134];[3, 11];[2, 41];[1, 9];[4, 108];[7, 320];[4, 101];[3, 128];[2, 35];[2, 10];[6, 285];[2, 12];[3, 6];[1, 9];[3, 79];[2, 56];[1, 1];[3, 23];[3, 65];[5, 91];[3, 111];[3, 149];[4, 52];
19;[2, 47];[4, 197];[4, 134];[3, 11];[2, 41];[1, 9];[4, 40];[7, 320];[4, 104];[3, 128];[2, 103];[2, 10];[6, 160];[2, 8];[3, 6];[1, 4];[3, 79];[2, 65];[1, 1];[3, 23];[3, 12];[5, 91];[3, 111];[3, 154];[4, 52];
20;[2, 47];[5, 58];[4, 134];[3, 11];[2, 41];[1, 2];[4, 40];[7, 367];[5, 132];[3, 28];[2, 103];[2, 10];[6, 160];[2, 8];[3, 98];[1, 4];[3, 24];[1, 6];[1, 1];[3, 62];[3, 18];[5, 91];[3, 111];[3, 154];[4, 52];
21;[2, 17];[5, 58];[4, 134];[3, 11];[2, 12];[1, 2];[4, 40];[7, 367];[5, 132];[3, 46];[2, 103];[2, 29];[6, 160];[2, 126];[3, 98];[1, 5];[3, 24];[1, 31];[1, 1];[2, 10];[3, 18];[4, 52];[3, 111];[3, 148];[4, 34];
22;[2, 17];[5, 58];[4, 134];[3, 11];[3, 74];[1, 2];[4, 48];[7, 367];[5, 132];[3, 46];[2, 92];[2, 29];[6, 160];[2, 126];[3, 40];[1, 5];[3, 32];[1, 31];[1, 1];[2, 14];[3, 18];[4, 52];[2, 166];[3, 17];[4, 21];
23;[2, 17];[5, 58];[4, 134];[3, 11];[3, 74];[1, 11];[4, 48];[7, 367];[6, 209];[3, 113];[2, 45];[2, 54];[6, 133];[2, 126];[3, 40];[1, 5];[3, 32];[1, 1];[1, 93];[2, 14];[3, 25];[4, 491];[2, 166];[3, 7];[4, 21];
24;[3, 18];[5, 58];[4, 134];[3, 11];[3, 74];[1, 18];[3, 27];[7, 367];[6, 209];[3, 113];[2, 45];[2, 54];[6, 133];[2, 13];[3, 164];[1, 1];[3, 172];[1, 1];[1, 137];[2, 14];[4, 78];[4, 491];[1, 23];[3, 7];[4, 17];
25;[3, 18];[5, 58];[4, 134];[3, 11];[3, 74];[1, 18];[3, 28];[7, 367];[6, 209];[3, 113];[2, 45];[2, 54];[6, 133];[2, 13];[3, 77];[1, 25];[3, 172];[1, 6];[1, 1];[2, 14];[4, 32];[3, 487];[1, 23];[3, 7];[4, 17];
26;[3, 20];[5, 54];[4, 111];[3, 17];[3, 74];[1, 4];[3, 28];[7, 367];[7, 219];[3, 309];[2, 45];[2, 54];[6, 133];[2, 13];[3, 69];[2, 104];[3, 181];[1, 6];[1, 1];[2, 14];[4, 32];[4, 564];[1, 23];[3, 7];[4, 17];
27;[3, 20];[4, 49];[5, 112];[3, 17];[3, 96];[1, 1];[3, 28];[7, 367];[7, 219];[3, 309];[2, 2];[2, 54];[6, 133];[2, 13];[3, 69];[2, 104];[3, 263];[1, 6];[1, 44];[2, 14];[4, 115];[4, 514];[1, 5];[3, 7];[4, 39];
